min	F1	New	BeiJing	Biochemical Engineering	Clear	2003	07	20	2003	09	05	47
l3m0nt	L1	New	ShangHai	N/A	Clear	2003	08	05	2003	08	06	1
G34836684	J1	New	BeiJing	Chemical Engineering	Clear	2007	07	10	2007	07	29	19
universe2000	J1	New	BeiJing	Physics	Clear	2007	09	18	2007	10	04	16
ce.zhu	B1	New	Europe	Computer Science/Engineering	Clear	2008	06	15	2008	07	30	45
carrie06_cat	H4	New	BeiJing	Medical Engineering	Clear	2008	10	09	2009	03	31	173
dingdong111	H1		BeiJing	Chemistry	Clear	2008	11	06	2009	04	02	147
ringsdrof	J1		BeiJing	Chemistry	Clear	2008	11	12	2009	05	22	191
lc	B1	New	ShangHai	N/A	Clear	2008	11	12	2009	04	14	153
dickydog	H1		Others	Eletrical Engineering	Clear	2008	11	20	2009	04	01	132
tjaliang	H4	New	BeiJing	Physics	Clear	2008	11	24	2009	03	12	108
jjsprite	J2		Others	N/A	Clear	2008	11	25	2009	03	19	114
dolong	H4	New	Others	Chemistry	Clear	2008	12	01	2009	03	17	106
piglet	J2		BeiJing	Computer Science/Engineering	Clear	2008	12	01	2009	03	13	102
Kevin	J1	Renewal	BeiJing	Biochemical Engineering	Clear	2008	12	01	2009	03	17	106
jzl	H1	Renewal	BeiJing	Materials Science/Engineering	Clear	2008	12	02	2009	03	19	107
heartlake	H1	Renewal	BeiJing	Neuroscience	Clear	2008	12	02	2009	03	17	105
zerocool	H1	Renewal	ShangHai	Computer Science/Engineering	Clear	2008	12	03	2009	03	19	106
oldloser	H1	Renewal	BeiJing	Eletrical Engineering	Clear	2008	12	03	2009	03	20	107
sunrising	F1	Renewal	ShangHai	Mechanical Engineering	Clear	2008	12	03	2009	03	18	105
conky_boy	J1	New	ShangHai	Physics	Clear	2008	12	03	2009	03	18	105
Technicolor	B2	New	Others	Physics	Clear	2008	12	03	2009	03	18	105
liuliu	J1	New	ShangHai	Materials Science/Engineering	Clear	2008	12	03	2009	03	18	105
scuddingboy	B1	New	BeiJing	Eletrical Engineering	Clear	2008	12	03	2009	03	18	105
zzqq	J1	New	ShangHai	Biology	Clear	2008	12	04	2009	03	17	103
sunmoon	F1	Renewal	GuangZhou	Computer Science/Engineering	Clear	2008	12	04	2009	03	18	104
jasonkinglfj	J1		ShangHai	Computer Science/Engineering	Clear	2008	12	05	2009	03	23	108
